variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v4-40-cATM,current/generic,2.25,9000,5000,765,1216141,1590,-1246,-9000,48659,384,353,270,405,47,-82880,39,14.7,18.43,35.8,5141,-9000,0,3322,1108
v4-40-cATM,2,2,8000,5600,765,1206503,1577,-1383,-8000,47391,395,363,261,414,46,-92055,39,13.1,17.25,36,4910,-8000,0,3860,784
v4-40-cATM,1.5,1.5,6000,4200,765,962438,1258,-1640,-6000,48197,413,368,212,443,42,-78225,39,12.3,15.18,35,4292,-6141,0,5205,715
v4-40-cATM,1,1,4000,2800,765,695847,910,-1709,-4000,37704,412,366,0,453,41,-68415,44,10.2,11.66,33.3,3359,-4064,0,7330,557
v5-20-cATM,current/generic,3.5,7000,5000,765,1425075,1863,1440,-7000,22909,213,160,41,277,64,-24868,16,57.3,21.7,66.8,4647,-7000,0,331,88
v5-20-cATM,3,3,6000,4200,765,1382911,1808,1285,-5995,22909,213,162,42,282,63,-24063,16,57.5,21.32,66.6,4548,-6000,0,637,141
v5-20-cATM,2,2,4000,2800,765,1252418,1637,972,-4000,22909,227,158,0,303,60,-31869,27,39.3,19.1,66.5,4016,-4000,0,2261,179
v5-20-cATM,1.5,1.5,3000,2100,765,1111934,1454,705,-3000,22570,241,172,0,314,59,-34400,28,32.3,16.73,66.6,3460,-3000,0,3939,160
v5-20-cATM,1,1,2000,1400,765,772065,1009,0,-2000,21359,301,7,0,382,50,-23700,29,32.6,12.53,65.5,2670,-2000,0,6849,117
v5-40-cATM,current/generic,2.25,9000,5000,765,2234751,2921,1430,-9000,43869,285,250,123,335,56,-55767,16,40.1,21.91,36.6,8276,-9000,0,1728,964
v5-40-cATM,2,2,8000,5600,765,2108103,2756,1171,-8000,43262,299,254,127,339,56,-51785,16,40.7,20.82,36.8,7990,-8000,0,2265,664
v5-40-cATM,1.5,1.5,6000,4200,765,1849379,2417,660,-6000,39127,299,256,104,347,55,-43128,31,42.9,18.75,36.5,7206,-6000,0,3630,634
v5-40-cATM,1,1,4000,2800,765,1412932,1847,3,-4000,38841,322,261,0,381,50,-52517,32,26.9,14.5,35.8,5700,-4000,0,6290,520
v6-20-cATM,current/generic,3.5,7000,5000,765,2035519,2661,2103,-7000,26062,233,195,86,285,63,-33668,9,60.5,31.86,55.9,7243,-7000,0,1040,202
